sn1;sn2;nbcar;unemp;ageyngst;hhtype;sn3;sn4;dyear;ddayofwk;working_day;dml1_0;dml1_1;dml1_2;dml1_3;dml1_4;dml1_5;dml1_6;dml1_7;dml1_8;dml1_9a;dml1_9b;dml2_01;a_alone;a_wch9;a_wothh;a_wothp;a_asleep;a_noans;a_totwth;dage;dsex;dethnic;pop_den;numadult;numchild;child;num0_2;num3_4;num5_9;econact;hrs_unpd;hrs_job1;hrs_job2;hrs_tot;nssecb;nssecb_8;nssecb_5;nssecb_3;wtdry_ug;car;health;hiqual4;region;hnumb;selfemp;public;cadre;parttime;shiftwork;flexitime;nethinc;indlabinc
10;568;1;5,5;4;2;1;1;2000;7;1;710;0;90;80;120;220;0;120;10;90;0;400;150;0;590;410;490;0;1820;47;1;0;1600,79;3;1;1;0;0;0;1;;8;;8;12,1;6;5;3;0,463145795;1;3;1;8;4;0;0;0;1;0;0;86,59685516;45
10;568;1;5,5;4;2;1;2;2000;1;0;600;250;220;140;0;50;0;10;50;120;0;440;260;0;160;80;910;40;1450;47;1;0;1600,79;3;1;1;0;0;0;1;;8;;8;12,1;6;5;3;1,144651455;1;3;1;8;4;0;0;0;1;0;0;86,59685516;45
10;568;1;5,5;4;2;2;1;2000;7;1;550;50;30;30;170;40;0;420;80;50;20;470;190;0;390;580;550;0;1710;49;2;0;1600,79;3;1;1;0;0;0;1;;4;2;6;7,1;3;2;2;0,441469717;2;2;4;8;4;0;0;0;1;0;0;86,59685516;20
10;580;1;5,5;2;2;2;1;2000;5;5;570;0;0;430;90;30;0;0;160;160;0;490;60;500;680;100;490;60;2390;34;2;0;1600,79;2;3;1;0;1;1;3;;;;;9,1;4;3;2;1,205616502;1;2;4;8;5;1;0;0;0;0;0;735,7545166;0
10;580;1;5,5;2;2;2;2;2000;6;5;580;0;0;340;0;350;0;0;110;60;0;490;0;890;770;560;490;0;3600;34;2;0;1600,79;2;3;1;0;1;1;3;;;;;9,1;4;3;2;0,497795467;1;2;4;8;5;1;0;0;0;0;0;735,7545166;0
10;591;2;5,5;4;2;1;1;2000;7;1;710;0;0;310;0;90;110;0;80;130;10;570;120;0;0;330;570;220;1660;42;1;0;1600,79;2;2;1;0;0;0;1;;49;2;51;4,1;2;1;1;0,729694408;2;1;2;8;4;0;1;1;0;1;0;829,5302734;369,5150146
10;591;2;5,5;4;2;1;2;2000;2;0;520;670;0;50;20;30;0;20;90;40;0;430;220;0;0;20;1100;0;1450;42;1;0;1600,79;2;2;1;0;0;0;1;;49;2;51;4,1;2;1;1;1,851459494;2;1;2;8;4;0;1;1;0;1;0;829,5302734;369,5150146
11;649;3;3,1;6;3;1;1;2000;5;0;560;720;0;0;0;0;0;0;90;70;0;480;70;0;170;0;1200;0;1440;51;1;0;122,95;3;0;0;0;0;0;1;;44;;44;12,3;6;5;3;0,998151772;1;1;4;8;3;0;0;0;0;1;0;-24,63853073;0
11;649;3;3,1;6;3;1;2;2000;7;0;570;510;0;0;10;110;0;0;140;100;0;490;100;0;30;310;1000;0;1440;51;1;0;122,95;3;0;0;0;0;0;1;;44;;44;12,3;6;5;3;0,418233985;1;1;4;8;3;0;0;0;0;1;0;-24,63853073;0
11;649;3;3,1;6;3;2;1;2000;5;0;550;590;0;140;0;0;0;0;140;20;0;470;180;0;170;30;1060;0;1440;46;2;0;122,95;3;0;0;0;0;0;1;;41;;41;12,2;6;5;3;0,953167796;1;1;3;8;3;0;0;0;0;0;0;-24,63853073;0
11;707;2;3,1;3;2;1;1;2000;7;1;880;0;0;230;0;130;0;0;150;30;20;590;60;360;490;20;590;270;2140;38;2;0;122,95;3;2;1;0;0;1;1;;3;;3;12,1;6;5;3;0,68554789;1;1;4;8;5;0;0;0;1;0;1;586,3695068;125
11;707;2;3,1;3;2;1;2;2000;2;1;570;0;0;320;0;100;0;40;220;130;60;440;280;420;330;270;440;60;2150;38;2;0;122,95;3;2;1;0;0;1;1;;3;;3;12,1;6;5;3;1,744621729;1;1;4;8;5;0;0;0;1;0;1;586,3695068;125
11;707;2;3,1;3;2;2;2;2000;2;0;520;540;0;200;0;20;0;0;140;20;0;430;170;140;290;0;970;10;1720;44;1;0;122,95;3;2;1;0;0;1;1;;39;;39;11,1;5;4;3;1,922265911;4;1;12;8;5;0;0;0;0;0;0;586,3695068;230,9468842
11;730;2;3,1;6;8;1;2;2000;3;5;390;0;0;140;0;60;540;60;210;40;0;290;100;0;260;610;290;180;1440;61;2;0;122,95;2;0;0;0;0;0;3;;;;;12,7;6;5;3;1,588027979;1;3;12;8;2;0;0;0;0;0;0;226,2108154;0
